snapshot id,description,started,size,volume,volume exists,instance,instance exists,ami,ami exists
snap-497b8d2f,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-b44d1b44. Task created on 1,482,159,151,425.",2016-12-19 14:52:43+00:00,200,vol-ffffffff,False,,,,
snap-e1924487,Created by CreateImage(i-8ef64fcc) for ami-986a88e1 from vol-f7c74ef5,2017-07-13 12:50:15+00:00,50,vol-f7c74ef5,True,i-8ef64fcc,True,ami-986a88e1,True
snap-01dabf67,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-d987e5bf. Task created on 1,482,159,151,425.",2016-12-19 14:52:41+00:00,100,vol-ffffffff,False,,,,
snap-23f49245,evise-db-prod2-backup-snap2,2016-09-21 10:07:02+00:00,1500,vol-60485ee3,False,,,,
snap-acdbaeca,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-d7b820b1. Task created on 1,482,159,151,425.",2016-12-19 14:57:49+00:00,100,vol-ffffffff,False,,,,
snap-d592bbb3,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-3be80a5d. Task created on 1,482,159,151,425.",2016-12-19 14:52:42+00:00,100,vol-ffffffff,False,,,,
snap-0d8bb16b,Created by CreateImage(i-8ef64fcc) for ami-986a88e1 from vol-1ac64f18,2017-07-13 12:50:15+00:00,30,vol-1ac64f18,True,i-8ef64fcc,True,ami-986a88e1,True
snap-de99d088,Snap before upgrading openssl,2016-04-11 14:57:21+00:00,7,vol-2f9c9e03,True,,,,
snap-af145e87,,2016-01-07 10:16:34+00:00,800,vol-10dbc0df,False,,,,
snap-5b8b0170,,2016-01-07 10:16:35+00:00,100,vol-bcdbc073,False,,,,
snap-adc76a8d,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-9f748cf9. Task created on 1,482,159,151,425.",2016-12-19 14:57:50+00:00,100,vol-ffffffff,False,,,,
snap-979383b7,,2016-01-07 10:16:34+00:00,100,vol-f7dbc038,False,,,,
snap-003dc023,,2016-01-07 10:16:36+00:00,700,vol-f6dbc039,False,,,,
snap-0251be30,Created by CreateImage(i-583fd5a1) for ami-391d534a from vol-abdb66b4,2016-10-20 11:03:58+00:00,8,vol-abdb66b4,True,i-583fd5a1,True,ami-391d534a,True
snap-5f6e866d,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-856c0074. Task created on 1,482,159,151,425.",2016-12-19 14:57:50+00:00,200,vol-ffffffff,False,,,,
snap-30e82a02,root volume of instance i-d1b95d93 ,2016-11-29 12:53:52+00:00,30,vol-febe68fc,False,,,,
snap-f34af5c1,evise-db-prod2-backup-snap3,2016-09-21 10:07:14+00:00,1500,vol-6c485eef,False,,,,
snap-de54d2ec,Created by CreateImage(i-5b806bbe) for ami-ea072099 from vol-66d908d6,2016-12-13 16:52:12+00:00,120,vol-66d908d6,False,i-5b806bbe,False,ami-ea072099,True
snap-f34cd0c1,evise-db-prod2-backup-snap1,2016-09-21 10:06:48+00:00,1500,vol-7b485ef8,False,,,,
snap-1c7bd804,test snapshot of 1st nees2 rman backup disk,2016-08-19 09:48:46+00:00,1500,vol-d2140a10,False,,,,
snap-062c3e16,snapshot to increase size,2016-04-25 13:31:33+00:00,1250,vol-1c335bde,False,,,,
snap-a82a4543,,2016-06-13 10:00:38+00:00,100,vol-c015a105,False,,,,
snap-475874ac,Created by CreateImage(i-7e5a42f6) for ami-15a8d966 from vol-3f9cfabc,2016-08-26 10:58:56+00:00,120,vol-3f9cfabc,False,i-7e5a42f6,False,ami-15a8d966,True
snap-97525c7c,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-6a237a87. Task created on 1,482,159,151,425.",2016-12-19 14:57:49+00:00,100,vol-ffffffff,False,,,,
snap-aa36f147,evise-db-prod1-backup-snapshot1,2016-08-24 08:45:07+00:00,1500,vol-7b485ef8,False,,,,
snap-d4884439,Created by CreateImage(i-7e5a42f6) for ami-15a8d966 from vol-c19dfb42,2016-08-26 10:58:56+00:00,65,vol-c19dfb42,False,i-7e5a42f6,False,ami-15a8d966,True
snap-cfd9a722,snapshot to increase size,2016-04-25 13:32:16+00:00,1250,vol-36345cf4,False,,,,
snap-fc662111,snapshot to increase size,2016-04-25 13:27:58+00:00,1250,vol-07335bc5,False,,,,
snap-5f784eb2,snapshot to increase size,2016-04-25 13:24:38+00:00,1250,vol-78335bba,False,,,,
snap-6249ac87,Snapshot taken from McAf...ami-7979ff10) [Copied snap-bbc03bac from us-east-1] ,2014-01-29 10:42:14+00:00,8,vol-fc627d84,False,,,,
snap-ba64b040,Created by CreateImage(i-d0217a92) for ami-ecbd1a9b from vol-2b3e6629,2014-09-18 15:30:59+00:00,30,vol-2b3e6629,False,i-d0217a92,False,ami-ecbd1a9b,True
snap-4180c0b0,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-9f8964f9. Task created on 1,482,159,151,425.",2016-12-19 14:52:41+00:00,50,vol-ffffffff,False,,,,
snap-351c39c4,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-10bf2276. Task created on 1,482,159,151,425.",2016-12-19 14:52:42+00:00,100,vol-ffffffff,False,,,,
snap-7cc5f18d,Created by CreateImage(i-6fb2cbe3) for ami-b9a9d8ca from vol-6376a0d2,2016-08-26 11:00:06+00:00,65,vol-6376a0d2,False,i-6fb2cbe3,False,ami-b9a9d8ca,True
snap-8587b374,Created by CreateImage(i-3d9c79ab) for ami-d55d00a6 from vol-9e79902e,2016-11-21 14:48:00+00:00,65,vol-9e79902e,False,i-3d9c79ab,False,ami-d55d00a6,True
snap-ec77921c,Created by CreateImage(i-8ef64fcc) for ami-986a88e1 from vol-9c454c2d,2017-07-13 12:50:15+00:00,200,vol-9c454c2d,True,i-8ef64fcc,True,ami-986a88e1,True
snap-0925dcf9,Created by CreateImage(i-6fb2cbe3) for ami-b9a9d8ca from vol-4176a0f0,2016-08-26 11:00:06+00:00,120,vol-4176a0f0,False,i-6fb2cbe3,False,ami-b9a9d8ca,True
snap-9173b161,evise-db-prod1-backup-snapshot-vol4,2016-08-24 08:46:30+00:00,1500,vol-cd485e4e,False,,,,
snap-23e18fd3,Created by CreateImage(i-56d62b16) for ami-9ec094ed from vol-10da6b17,2016-11-06 04:02:56+00:00,65,vol-10da6b17,True,i-56d62b16,True,ami-9ec094ed,True
snap-d1b9ab21,evise-db-prod1-backup-snapshot-vol2,2016-08-24 08:45:52+00:00,1500,vol-60485ee3,False,,,,
snap-498065ba,Created by CreateImage(i-7db2cbf1) for ami-17a8d964 from vol-b476a005,2016-08-26 10:57:50+00:00,65,vol-b476a005,False,i-7db2cbf1,False,ami-17a8d964,True
snap-0cb623ff,Created by CreateImage(i-5b806bbe) for ami-ea072099 from vol-19d908a9,2016-12-13 16:52:13+00:00,65,vol-19d908a9,False,i-5b806bbe,False,ami-ea072099,True
snap-8bdab578,evise-db-prod1-backup-snapshot-vol3,2016-08-24 08:46:16+00:00,1500,vol-6c485eef,False,,,,
snap-16544be3,Created by CreateImage(i-a7b0c92b) for ami-8fa7d6fc from vol-90499f21,2016-08-26 10:31:30+00:00,65,vol-90499f21,False,i-a7b0c92b,False,ami-8fa7d6fc,True
snap-1c947be8,Created by CreateImage(i-7db2cbf1) for ami-17a8d964 from vol-9b76a02a,2016-08-26 10:57:50+00:00,120,vol-9b76a02a,False,i-7db2cbf1,False,ami-17a8d964,True
snap-2112fbd5,Created by CreateImage(i-c1594149) for ami-86addcf5 from vol-cf9cfa4c,2016-08-26 10:47:17+00:00,120,vol-cf9cfa4c,False,i-c1594149,False,ami-86addcf5,True
snap-97a25763,Created by CreateImage(i-583fd5a1) for ami-391d534a from vol-8fdb6690,2016-10-20 11:03:58+00:00,120,vol-8fdb6690,True,i-583fd5a1,True,ami-391d534a,True
snap-be48874a,Created by CreateImage(i-c1594149) for ami-86addcf5 from vol-e49cfa67,2016-08-26 10:47:17+00:00,65,vol-e49cfa67,False,i-c1594149,False,ami-86addcf5,True
snap-21dd15d5,Created by CreateImage(i-705941f8) for ami-67acdd14 from vol-229dfba1,2016-08-26 11:00:58+00:00,65,vol-229dfba1,False,i-705941f8,False,ami-67acdd14,True
snap-185399ef,evise-db-prod2-backup-snap4,2016-09-21 10:07:29+00:00,1500,vol-cd485e4e,False,,,,
snap-32c214c5,Created by CreateImage(i-3d9c79ab) for ami-d55d00a6 from vol-70668fc0,2016-11-21 14:48:00+00:00,120,vol-70668fc0,False,i-3d9c79ab,False,ami-d55d00a6,True
snap-72862285,Created by CreateImage(i-f1497379) for ami-51d78522 from vol-a14aeb64,2016-11-20 05:07:48+00:00,65,vol-a14aeb64,False,i-f1497379,False,ami-51d78522,True
snap-a1f67756,Created by CreateImage(i-705941f8) for ami-67acdd14 from vol-599dfbda,2016-08-26 11:00:57+00:00,120,vol-599dfbda,False,i-705941f8,False,ami-67acdd14,True
snap-01de57f6,Created by CreateImage(i-b448723c) for ami-fad68489 from vol-7e4beabb,2016-11-20 05:05:37+00:00,65,vol-7e4beabb,False,i-b448723c,False,ami-fad68489,True
snap-af7e1a58,Created by CreateImage(i-a7b0c92b) for ami-8fa7d6fc from vol-5b489eea,2016-08-26 10:31:29+00:00,120,vol-5b489eea,False,i-a7b0c92b,False,ami-8fa7d6fc,True
snap-52a5c9a5,"Copied for DestinationAmi ami-c785a4b4 from SourceAmi ami-8ed785fd for SourceSnapshot snap-bdccdb4c. Task created on 1,482,159,151,425.",2016-12-19 14:52:43+00:00,100,vol-ffffffff,False,,,,
snap-01e367247a83f5d04,Created by CreateImage(i-361d3a7a) for ami-13cfe460 from vol-62c03836,2017-01-12 14:45:05+00:00,7,vol-62c03836,False,i-361d3a7a,False,ami-13cfe460,True
snap-0931643014d3f82a7,Created by CreateImage(i-583fd5a1) for ami-ed5a6a8b from vol-abdb66b4,2017-03-20 11:14:37+00:00,8,vol-abdb66b4,True,i-583fd5a1,True,ami-ed5a6a8b,True
snap-062c118971a628425,Created by CreateImage(i-583fd5a1) for ami-ed5a6a8b from vol-8fdb6690,2017-03-20 11:14:37+00:00,120,vol-8fdb6690,True,i-583fd5a1,True,ami-ed5a6a8b,True
snap-01d6b70e576b77b4d,Created by CreateImage(i-0b34b26691e544d21) for ami-a3b1e7da from vol-0e2749f8e48501b7d,2018-03-24 03:01:24+00:00,100,vol-0e2749f8e48501b7d,True,i-0b34b26691e544d21,True,ami-a3b1e7da,True
snap-03d50185f41e97e1f,Created by CreateImage(i-0ae8e019122244637) for ami-31b3e548 from vol-0ee88f3b4622117b8,2018-03-24 03:01:21+00:00,500,vol-0ee88f3b4622117b8,True,i-0ae8e019122244637,True,ami-31b3e548,True
snap-01ed16e9d2384fce9,Created by CreateImage(i-04fb493454b7e45fe) for ami-30b5e349 from vol-0a867ad487438c58e,2018-03-24 03:01:19+00:00,100,vol-0a867ad487438c58e,True,i-04fb493454b7e45fe,True,ami-30b5e349,True
snap-0b2b3ebe7c320a73b,Created by CreateImage(i-04fb493454b7e45fe) for ami-30b5e349 from vol-099def1dd9b586761,2018-03-24 03:01:19+00:00,100,vol-099def1dd9b586761,True,i-04fb493454b7e45fe,True,ami-30b5e349,True
snap-02796b558dbd1a67b,Created by CreateImage(i-0b34b26691e544d21) for ami-a3b1e7da from vol-04e8f90b64b992192,2018-03-24 03:01:24+00:00,100,vol-04e8f90b64b992192,True,i-0b34b26691e544d21,True,ami-a3b1e7da,True
snap-073b39c49114463fc,Created by CreateImage(i-0ae8e019122244637) for ami-31b3e548 from vol-04d975556866bb02d,2018-03-24 03:01:21+00:00,100,vol-04d975556866bb02d,True,i-0ae8e019122244637,True,ami-31b3e548,True
snap-004ed4c113b5f0e58,Created by CreateImage(i-0ae8e019122244637) for ami-31b3e548 from vol-03e22012cbbd4fc07,2018-03-24 03:01:21+00:00,500,vol-03e22012cbbd4fc07,True,i-0ae8e019122244637,True,ami-31b3e548,True
snap-0cb183a9893047e56,Created by CreateImage(i-0b34b26691e544d21) for ami-a3b1e7da from vol-0fcda6a4c2514e0bb,2018-03-24 03:01:24+00:00,100,vol-0fcda6a4c2514e0bb,True,i-0b34b26691e544d21,True,ami-a3b1e7da,True
snap-0fcae1763f23420c4,Created by CreateImage(i-0b34b26691e544d21) for ami-a3b1e7da from vol-0eaa99992de867dad,2018-03-24 03:01:24+00:00,100,vol-0eaa99992de867dad,True,i-0b34b26691e544d21,True,ami-a3b1e7da,True
snap-084f4730ee97f8847,Created by CreateImage(i-0b34b26691e544d21) for ami-a3b1e7da from vol-0f115823efd53a9f0,2018-03-24 03:01:24+00:00,100,vol-0f115823efd53a9f0,True,i-0b34b26691e544d21,True,ami-a3b1e7da,True
snap-06094823b1eb28513,Created by CreateImage(i-04fb493454b7e45fe) for ami-30b5e349 from vol-035ac0e119ef8ce8d,2018-03-24 03:01:19+00:00,300,vol-035ac0e119ef8ce8d,True,i-04fb493454b7e45fe,True,ami-30b5e349,True
snap-06fee3714e64f94ea,Created by CreateImage(i-0b34b26691e544d21) for ami-a3b1e7da from vol-07bcc6f476ac9ca16,2018-03-24 03:01:24+00:00,100,vol-07bcc6f476ac9ca16,True,i-0b34b26691e544d21,True,ami-a3b1e7da,True
snap-0f07e1ef30fcfe51a,Created by CreateImage(i-0ae8e019122244637) for ami-31b3e548 from vol-089d8b5150ba5c341,2018-03-24 03:01:22+00:00,200,vol-089d8b5150ba5c341,True,i-0ae8e019122244637,True,ami-31b3e548,True
snap-0426c5b8aea486c95,Created by CreateImage(i-04fb493454b7e45fe) for ami-30b5e349 from vol-0cdc13e5b7f83bdae,2018-03-24 03:01:19+00:00,200,vol-0cdc13e5b7f83bdae,True,i-04fb493454b7e45fe,True,ami-30b5e349,True
