snapshot id,description,started,size,volume,volume exists,instance,instance exists,ami,ami exists
snap-ae1df54b,Created by CreateImage(i-8ec2cfc0) for ami-3249be45 from vol-20ac9d0c,2014-01-31 10:03:12+00:00,7,vol-20ac9d0c,FALSE,i-8ec2cfc0,FALSE,ami-3249be45,TRUE
snap-8c628a69,Created by CreateImage(i-8fe2b7c1) for ami-6c48bf1b from vol-b2c8f99e,2014-01-31 10:37:43+00:00,6,vol-b2c8f99e,FALSE,i-8fe2b7c1,FALSE,ami-6c48bf1b,TRUE
snap-e422e001,Created by CreateImage(i-86096bca) for ami-8c23d5fb from vol-58bb415a,2014-02-04 12:09:26+00:00,7,vol-58bb415a,FALSE,i-86096bca,FALSE,ami-8c23d5fb,TRUE
snap-cf955d2a,Created by CreateImage(i-5f7ccc13) for ami-d00ef8a7 from vol-3158a333,2014-02-05 06:53:51+00:00,6,vol-3158a333,FALSE,i-5f7ccc13,FALSE,ami-d00ef8a7,TRUE
snap-088e1aec,Created by CreateImage(i-fae30db8) for ami-956896e2 from vol-98f6299a,2014-03-26 12:55:55+00:00,30,vol-98f6299a,FALSE,i-fae30db8,FALSE,ami-956896e2,TRUE
snap-f2150116,Created by CreateImage(i-99a25ddb) for ami-5dfb012a from vol-d8a302da,2014-04-14 09:45:13+00:00,30,vol-d8a302da,FALSE,i-99a25ddb,FALSE,ami-5dfb012a,TRUE
snap-79a1b59d,Created by CreateImage(i-ea847ba8) for ami-43f20834 from vol-3fb3123d,2014-04-14 13:25:20+00:00,7,vol-3fb3123d,FALSE,i-ea847ba8,FALSE,ami-43f20834,TRUE
snap-94637470,Created by CreateImage(i-f0e916b2) for ami-1bf10b6c from vol-7d80217f,2014-04-14 14:50:57+00:00,6,vol-7d80217f,FALSE,i-f0e916b2,FALSE,ami-1bf10b6c,TRUE
snap-cb883b2c,Created by CreateImage(i-361d3a7a) for ami-21549056 from vol-62c03836,2014-04-28 05:20:16+00:00,7,vol-62c03836,FALSE,i-361d3a7a,FALSE,ami-21549056,TRUE
snap-d45b9f32,Created by CreateImage(i-9d9232df) for ami-8d0ac8fa from vol-7101bb73,2014-05-24 06:28:47+00:00,120,vol-7101bb73,FALSE,i-9d9232df,FALSE,ami-8d0ac8fa,TRUE
snap-d35b9f35,Created by CreateImage(i-9d9232df) for ami-8d0ac8fa from vol-2201bb20,2014-05-24 06:28:47+00:00,65,vol-2201bb20,FALSE,i-9d9232df,FALSE,ami-8d0ac8fa,TRUE
snap-6a2d8a8c,Created by CreateImage(i-14b11e56) for ami-2dea275a from vol-a10b8ca3,2014-05-28 09:51:07+00:00,7,vol-a10b8ca3,FALSE,i-14b11e56,FALSE,ami-2dea275a,TRUE
snap-132d8af5,Created by CreateImage(i-efb41bad) for ami-17ea2760 from vol-350b8c37,2014-05-28 09:52:00+00:00,6,vol-350b8c37,FALSE,i-efb41bad,FALSE,ami-17ea2760,TRUE
snap-abfd6152,Created by CreateImage(i-edce4eaf) for ami-83e035f4 from vol-d3bf2ad1,2014-07-04 08:52:06+00:00,65,vol-d3bf2ad1,FALSE,i-edce4eaf,FALSE,ami-83e035f4,TRUE
snap-acfd6155,Created by CreateImage(i-edce4eaf) for ami-83e035f4 from vol-1cbe2b1e,2014-07-04 08:52:06+00:00,500,vol-1cbe2b1e,FALSE,i-edce4eaf,FALSE,ami-83e035f4,TRUE
snap-b340044b,Created by CreateImage(i-d60cd594) for ami-3a5a884d from vol-7a378b78,2014-08-06 11:12:11+00:00,120,vol-7a378b78,FALSE,i-d60cd594,FALSE,ami-3a5a884d,TRUE
snap-b640044e,Created by CreateImage(i-d60cd594) for ami-3a5a884d from vol-74378b76,2014-08-06 11:12:11+00:00,65,vol-74378b76,FALSE,i-d60cd594,FALSE,ami-3a5a884d,TRUE
snap-a9400451,Created by CreateImage(i-d60cd594) for ami-3a5a884d from vol-75378b77,2014-08-06 11:12:11+00:00,65,vol-75378b77,FALSE,i-d60cd594,FALSE,ami-3a5a884d,TRUE
